1,Fever,High body temperature;Feeling cold;Lethargy;Anorexia;sleepiness;hypergesia; muscle tone ; shivering,Paracetamol; Ibuprofen; Aspirin,Wash your hands before eating; Avoid eating outside in open areas; Drink plenty of water; Cover your mouth while sneezing and coughing
2,Hyperpyrexia,High body temperature,Antipyretic ibuprofen; paracetamol,If the temperature reads extremely high; aggressive cooling is required
3,Cough,Running nose; throat clearing; sore throat,Cough syrup/Linctus (O) 5-10 ml every 6 hours;,Anibiotics should never be used routinely in the tratment of cough
4,Convulsion,Temporary confusion; jerking movements of the arms and legs;emotional symptoms,Phenobarbitone 20mg/kg 8 hourly. Max. dose 1.5g;,Any activity related to water should be considered a high risk; so people with epilepsy should avoid swimming or taking baths by themselves.
5,Shock,Weak thread pulse; cold  skin; Distended neck veins,Ampicillin 20mg/kg/dose 6 hourly for 7-10 days; Ceftriaxone; IM; 50–80 mg/kg/dose immediately as a single dose,Ceftriaxone; IM; 50–80 mg/kg/dose immediately as a single dose
6,Dehydration,Thirst; dryness of mucous membrane; loss of skin turgor; orthostatic hypotension,Oral fluid as(ORS),Drink plenty of water before; during; and after exercise
7,Hypoglycemia,burry vision; fast heartbeat; sudden nervousness ,chlorpropamide; tolazamide;Glimepiride,Make a positive effort to follow the meal plan; avoid unusual exercise and change in dose/ timing of medication; If you drink an alcoholic beverage; always have snack or meal along with it
8,Gingivitis,Swollen gums; puffy gums;  Gums  bleed ; Bad breath, Receding gums; Tender gums,Streptococcal Pharyngitis(500 mg PO q12hr or 250 mg PO q6hr for 10 days); Actinomycosis,brushing your teeth for two minutes at least twice daily — in the morning and before going to bed ; Practices such as healthy eating and managing blood sugar if you have diabetes also are important to maintain gum health.
9,Periodontitis,Reddened; swollen gingiva; bleeding gingival ; Looseteeth;mobile teeth; Bad breath ,Metronidazole (O) 400mg 8 hourly for 5 days plus Amoxicillin 500 mg 8 hourly for 5 days; Tetracycline 500mg 8 hourly for 5 days.,Instruction and guidance to the patients on proper oral hygiene for proper plaque control
10,ANUG, ulceration of  gingival; Fever; malaise ; regional lymphadenitis;  extensive destruction of the face and jaws .,Metronidazole 400 mg (O) 8 hourly a day for five days plus Amoxicillin 500mg (O) 6 hourly for 5 days,Amoxicillin 500mg (O) 6 hourly for 5 days plus Metronidazole 400 mg (O) 8 hourly a day for five days
